section	sub.	title	duration
---			
		Foundations of Programming: Databases	03:11:40
		---	
i		Introduction	00:02:20
	1	Welcome	00:01:06
	2	What you need to know	00:01:14
1		Understanding Databases	00:11:50
	1	What are databases?	00:07:41
	2	Exploring databases and database management systems	00:04:09
2		Database Fundamentals	00:27:42
	1	The features of a relational database	00:04:03
	2	Exploring unique values and primary keys	00:03:34
	3	Defining table relationships	00:05:33
	4	Describing many-to-many relationships	00:06:32
	5	Transactions and the ACID test	00:04:17
	6	Introduction to Structured Query Language (SQL)	00:03:43
3		Database Modeling: Tables	00:19:56
	1	Introduction to database modeling	00:02:39
	2	Planning your database	00:05:45
	3	Identifying columns and selecting data types	00:07:43
	4	Choosing primary keys	00:01:45
	5	Using composite keys	00:02:04
4		Database Modeling: Relationships	00:21:15
	1	Creating relationships	00:02:38
	2	Defining one-to-many relationships	00:05:50
	3	Exploring one-to-one relationships	00:03:30
	4	Exploring many-to-many relationships	00:04:55
	5	Understanding relationship rules and referential integrity	00:04:22
5		Database Modeling: Optimization	00:19:11
	1	Understanding normalization	00:02:03
	2	First normal form	00:04:05
	3	Second normal form	00:04:29
	4	Third normal form	00:04:34
	5	Database denormalization	00:04:00
6		Database Modeling: Querying	00:37:51
	1	Creating SQL queries	00:05:34
	2	Structuring the WHERE clause	00:06:24
	3	Sorting query results	00:02:37
	4	Using aggregate functions	00:04:49
	5	Joining tables	00:06:54
	6	Inserting, updating, and deleting	00:06:43
	7	The data definition language	00:04:50
7		Database Modeling: Indexing and Optimization	00:26:01
	1	Understanding indexes	00:09:24
	2	Understanding write conflicts	00:09:05
	3	Understanding stored procedures and injection attacks	00:07:32
8		Database Options	00:24:44
	1	Desktop databases	00:05:13
	2	Relational database management systems	00:06:29
	3	Object-based and XML-based databases	00:04:03
	4	NoSQL databases	00:08:59
c		Conclusion	00:00:50
	1	Final thoughts	00:00:50
